Date,AIQ,AIRR,AMLP,ARKG,AWAY,BATT,BETZ,BOTZ,CIBR,COPX,CORN,CPER,DBA,DIA,DRAM,ETHE,GLD,IAI,IBB,IBIT,IEF,IGV,ITA,IWM,KBE,KBWD,KRE,LITP,OIH,ONLN,PAVE,PDBC,PEJ,PPH,QQQ,REZ,RSP,SHY,SKYY,SLV,SLX,SMH,SOXX,SPY,SRVR,TIP,TLT,UNG,USO,UUP,VIXY,VNQ,VOO,WEAT,XBI,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOP
2025-06-30,43.65181350708008,81.31784057617188,44.23441696166992,24.350000381469727,21.520000457763672,9.170902252197266,22.716594696044922,32.493377685546875,75.17601776123047,43.82012176513672,17.700000762939453,31.639999389648438,25.2397403717041,433.5702819824219,,20.5949764251709,304.8299865722656,167.1575164794922,126.1888427734375,61.209999084472656,91.56153106689453,109.47947692871094,187.68531799316406,213.57174682617188,54.448604583740234,11.909880638122559,57.981685638427734,5.319437026977539,226.3610382080078,50.58580780029297,43.21232986450195,12.552675247192383,56.588253021240234,85.51793670654297,548.9959106445312,80.54998779296875,178.7749481201172,79.41236114501953,121.63999938964844,32.810001373291016,65.13194274902344,278.0149230957031,237.59132385253906,611.0790405273438,31.417240142822266,104.22624969482422,83.75260162353516,15.279999732971191,73.11000061035156,25.992298126220703,46.880001068115234,85.73944854736328,561.3995971679688,22.200000762939453,82.55216217041016,43.11951446533203,107.18204498291016,41.12360763549805,51.5697021484375,145.6429901123047,125.95399475097656,78.7849349975586,40.03952407836914,39.72228240966797,132.47616577148438,107.82722473144531,122.94344329833984
2025-07-01,43.1622428894043,82.13701629638672,43.80891036987305,24.170000076293945,21.770000457763672,9.141446113586426,22.773983001708984,31.985824584960938,74.02220916748047,44.23884963989258,17.579999923706055,31.56999969482422,24.757144927978516,437.7422790527344,,19.637300491333008,307.54998779296875,166.94998168945312,127.30599975585938,59.84000015258789,91.39177703857422,108.21971130371094,184.07369995117188,215.76895141601562,56.0207405090332,12.030097007751465,59.96355056762695,5.356506824493408,232.89759826660156,51.04441452026367,43.648616790771484,12.6200590133667,56.76726531982422,86.552734375,544.3682250976562,80.68695068359375,180.87017822265625,79.32966613769531,120.33999633789062,32.72999954223633,66.1360855102539,274.9843444824219,236.51632690429688,610.8812866210938,31.41335105895996,104.16924285888672,83.96023559570312,15.109999656677246,73.93000030517578,25.982629776000977,46.810001373291016,86.36521911621094,561.142578125,22.649999618530273,82.70148468017578,44.23421096801758,106.42162322998047,41.438785552978516,51.85527038574219,146.12677001953125,124.82989501953125,79.7676773071289,40.31019592285156,39.858482360839844,134.3632049560547,108.28863525390625,123.99891662597656
2025-07-02,43.45199203491211,83.43569946289062,44.30684280395508,25.170000076293945,21.670000076293945,9.337824821472168,22.687898635864258,32.33414840698242,74.1216812133789,45.39764404296875,18.010000228881836,32.2400016784668,24.9694881439209,437.5650634765625,,21.305828094482422,309.25,168.9462890625,129.22113037109375,62.41999816894531,91.19993591308594,108.78960418701172,183.7951202392578,218.7578887939453,56.88981246948242,12.184659004211426,61.0276985168457,5.662327766418457,238.82472229003906,51.363441467285156,44.11465072631836,12.822211265563965,57.18496322631836,86.52335357666016,548.1599731445312,80.68695068359375,181.2833251953125,79.32003021240234,120.77999877929688,33.2400016784668,68.8039779663086,280.3775634765625,241.01535034179688,613.6505737304688,31.533885955810547,104.12171936035156,83.42682647705078,15.420000076293945,75.58999633789062,25.963289260864258,46.66999816894531,86.5673828125,563.6332397460938,23.200000762939453,84.40369415283203,44.89713668823242,106.11546325683594,42.151580810546875,51.81588363647461,146.27487182617188,126.14797973632812,80.0011978149414,40.38752746582031,39.51311111450195,133.03639221191406,109.15689086914062,126.34442901611328
2025-07-03,43.961544036865234,84.23489379882812,44.451698303222656,25.389999389648438,22.149999618530273,9.457615852355957,22.812244415283203,32.63270568847656,75.5241470336914,45.24184036254883,18.15999984741211,31.90999984741211,24.98879051208496,440.8907470703125,,21.04913330078125,307.1400146484375,169.67762756347656,129.6699981689453,62.189998626708984,90.88345336914062,111.24913787841797,185.91433715820312,220.7868194580078,57.43663787841797,12.244765281677246,61.73063278198242,5.90327787399292,237.45843505859375,51.52294921875,44.422035217285156,12.822211265563965,57.49326705932617,86.21987915039062,553.553955078125,81.17607879638672,182.15879821777344,79.23352813720703,123.13999938964844,33.5099983215332,69.09931945800781,282.740234375,242.2097625732422,618.487060546875,31.678726196289062,103.94113159179688,82.8457260131836,15.25,75.19000244140625,26.0889949798584,46.290000915527344,86.66365814208984,568.505615234375,23.149999618530273,84.85163879394531,44.867671966552734,106.69813537597656,42.200069427490234,52.37717056274414,147.51882934570312,127.80925750732422,79.9622802734375,40.406856536865234,39.809837341308594,133.17396545410156,109.75227355957031,126.23692321777344
2025-07-07,43.501949310302734,83.53560638427734,43.97187423706055,24.350000381469727,22.09000015258789,9.269091606140137,22.64007568359375,32.0057258605957,75.27548217773438,44.14147186279297,17.540000915527344,31.149999618530273,24.81505584716797,436.866455078125,,20.802310943603516,307.3699951171875,169.41078186035156,127.79473876953125,61.400001525878906,90.5957260131836,110.68924713134766,187.1182403564453,217.4712371826172,56.694515228271484,12.115964889526367,61.096046447753906,5.643793106079102,234.32286071777344,51.08428955078125,44.0154914855957,12.79333209991455,57.13523864746094,85.95555114746094,549.3840942382812,80.78477478027344,180.70294189453125,79.21430206298828,122.55000305175781,33.43000030517578,67.91796112060547,278.8922119140625,237.6709442138672,613.8780517578125,31.251989364624023,103.80806732177734,82.05509185791016,15.109999656677246,76.4800033569336,26.176023483276367,46.86000061035156,85.92237091064453,563.949462890625,22.700000762939453,83.19920349121094,44.435543060302734,105.67105865478516,41.79275894165039,51.874969482421875,147.00543212890625,126.79459381103516,79.89417266845703,40.0975227355957,39.89253234863281,132.0535430908203,108.35810089111328,124.84916687011719
2025-07-08,43.64182662963867,83.55558776855469,44.198204040527344,25.09000015258789,22.31999969482422,9.377100944519043,22.946151733398438,32.204769134521484,75.27548217773438,44.45308303833008,17.34000015258789,33.77000045776367,24.844011306762695,435.2725524902344,,21.355194091796875,304.1600036621094,167.00927734375,129.00169372558594,61.81999969482422,90.46144104003906,111.0591812133789,185.81483459472656,218.97564697265625,57.085105895996094,12.201833724975586,61.65252685546875,5.977416038513184,245.56768798828125,51.13414001464844,44.11465072631836,12.822211265563965,57.155128479003906,86.18070983886719,549.6925659179688,80.53042602539062,181.1554412841797,79.22391510009766,122.75,33.290000915527344,68.90242004394531,282.6006774902344,242.2097625732422,613.5418090820312,31.106178283691406,103.72252655029297,81.9503173828125,14.829999923706055,76.95999908447266,26.195363998413086,45.79999923706055,85.79721069335938,563.5739135742188,22.649999618530273,84.32405853271484,44.79893112182617,105.45378112792969,42.91770553588867,51.412147521972656,146.9659423828125,127.47601318359375,79.15467071533203,40.03952407836914,39.46933364868164,132.653076171875,107.99095916748047,128.81698608398438
2025-07-09,43.731746673583984,84.24488067626953,44.089561462402344,26.06999969482422,22.350000381469727,9.372191429138184,23.33831214904785,32.61280059814453,75.91205596923828,43.73248291015625,17.389999389648438,34.29999923706055,25.02739906311035,437.37811279296875,,22.6386775970459,305.5199890136719,168.66958618164062,131.95416259765625,63.58000183105469,90.93141174316406,111.39910888671875,187.95396423339844,221.35096740722656,57.006988525390625,12.227592468261719,61.623233795166016,5.958881855010986,243.70008850097656,51.17401885986328,44.47161102294922,12.812585830688477,57.21479415893555,86.90516662597656,553.5838012695312,80.42281341552734,181.69647216796875,79.29122161865234,123.61000061035156,33.0,68.892578125,284.53466796875,242.98614501953125,617.2210083007812,31.20338249206543,104.11222076416016,82.8076171875,14.199999809265137,76.93000030517578,26.195363998413086,44.20000076293945,85.86460876464844,566.9144287109375,22.600000381469727,87.46966552734375,45.069000244140625,105.73030853271484,42.699501037597656,51.599246978759766,147.99270629882812,128.24197387695312,78.63897705078125,40.02019500732422,39.83902359008789,133.16415405273438,108.63097381591797,127.74195861816406
2025-07-10,43.61185073852539,85.03408813476562,44.09861755371094,26.125,22.440000534057617,9.573479652404785,23.30961799621582,32.38390350341797,73.31600952148438,44.28753662109375,17.389999389648438,34.79999923706055,24.872968673706055,439.3263244628906,,23.043472290039062,306.20001220703125,170.62637329101562,133.3107147216797,64.5,90.88345336914062,109.1295394897461,187.69528198242188,222.48915100097656,57.37804412841797,12.296287536621094,62.06256866455078,6.24616813659668,245.72496032714844,51.81207275390625,44.70958709716797,12.754827499389648,58.109867095947266,87.48277282714844,552.7876586914062,80.8043441772461,182.74900817871094,79.29122161865234,121.3499984741211,33.75,69.94595336914062,286.62811279296875,245.4048614501953,618.961669921875,31.067293167114258,104.08370208740234,82.8647689819336,14.75,75.38999938964844,26.243711471557617,43.86000061035156,86.40372467041016,568.5748901367188,22.899999618530273,87.97734069824219,45.30961990356445,105.3747787475586,43.024383544921875,51.90450668334961,148.82203674316406,127.81922149658203,78.92115783691406,40.22319412231445,40.16493225097656,133.9799041748047,109.83164978027344,129.2860565185547
2025-07-11,43.24217224121094,84.8143081665039,44.198204040527344,25.264999389648438,22.17099952697754,9.602935791015625,23.080059051513672,32.11520004272461,72.19204711914062,43.975929260253906,17.270000457763672,34.5099983215332,24.872968673706055,436.4433898925781,,24.603395462036133,309.1400146484375,169.25265502929688,131.2559356689453,67.20999908447266,90.46144104003906,107.45985412597656,188.81956481933594,219.4210205078125,56.78239822387695,12.244765281677246,61.39868927001953,6.172029972076416,247.92672729492188,51.503013610839844,44.58068084716797,12.9281005859375,57.413700103759766,86.37651062011719,551.543701171875,81.19564819335938,181.4112091064453,79.27198791503906,119.04000091552734,35.029998779296875,70.27082061767578,286.59820556640625,245.02662658691406,616.7858276367188,30.98952865600586,103.9126205444336,81.7216796875,14.920000076293945,77.29000091552734,26.321069717407227,44.06999969482422,86.4133529663086,566.5289916992188,22.5,86.62352752685547,44.94132995605469,104.69335174560547,43.21833801269531,51.3629150390625,148.2888946533203,127.25716400146484,78.6292495727539,40.18452835083008,40.10655975341797,132.86929321289062,109.86141967773438,130.04837036132812
2025-07-14,43.47196960449219,84.52460479736328,44.352108001708984,25.260000228881836,22.174999237060547,9.6422119140625,23.089624404907227,32.12514877319336,72.81867218017578,43.742218017578125,17.459999084472656,34.279998779296875,24.979137420654297,437.4371337890625,,24.534286499023438,308.010009765625,170.8635711669922,131.55519104003906,68.18000030517578,90.42308807373047,109.0295639038086,192.6600341796875,220.8957061767578,57.37804412841797,12.227592468261719,62.09185028076172,6.311039447784424,240.43673706054688,51.57280349731445,44.58068084716797,12.822211265563965,57.841346740722656,86.68000030517578,553.5440673828125,81.67498779296875,181.5980987548828,79.28160095214844,119.66999816894531,34.630001068115234,69.27651977539062,284.4349670410156,242.697509765625,617.9627685546875,31.334611892700195,103.9791488647461,81.55022430419922,15.289999961853027,75.62000274658203,26.38875961303711,44.7400016784668,86.97172546386719,567.6458129882812,22.450000762939453,87.86783599853516,44.69089126586914,105.7204360961914,42.74314880371094,51.74695587158203,149.08860778808594,127.15270233154297,78.69735717773438,40.45519256591797,40.267086029052734,132.71205139160156,110.26826477050781,128.68991088867188
2025-07-15,43.75172805786133,83.35578918457031,44.10767364501953,24.329999923706055,22.03499984741211,9.652030944824219,22.928936004638672,32.1749153137207,72.72917175292969,43.177425384521484,17.510000228881836,34.310001373291016,24.72818946838379,433.078369140625,,24.869966506958008,306.7300109863281,168.4422607421875,128.72239685058594,66.16000366210938,90.06822967529297,108.96956634521484,192.24215698242188,216.57061767578125,55.58132553100586,12.098791122436523,59.91473388671875,6.125693321228027,232.77964782714844,51.76222610473633,44.104732513427734,12.79333209991455,57.155128479003906,84.90802764892578,554.051513671875,80.62824249267578,179.0798797607422,79.20467376708984,119.91000366210938,34.2599983215332,68.28221130371094,289.89794921875,245.11619567871094,615.3220825195312,31.40751838684082,103.70352935791016,80.97868347167969,15.539999961853027,75.26000213623047,26.53380584716797,44.40999984741211,85.69131469726562,565.1848754882812,22.299999237060547,85.51860046386719,43.77261734008789,104.67359924316406,42.1273307800293,50.8607063293457,147.9729766845703,128.2817840576172,77.90921020507812,39.93319320678711,39.8828010559082,130.3237762451172,108.6905288696289,125.91441345214844
