Date,Ticker,Price,EMA20,MA30,MA50,MA100,MA200,AboveEMA20,Pct_Above_EMA20,Above30,Pct_Above_30,Above50,Pct_Above_50,Above100,Pct_Above_100,Above200,Pct_Above_200
2025-03-03,AIQ,38.183479,,,,,,,,,,,,,,,
2025-03-04,AIQ,38.213421,,,,,,,,,,,,,,,
2025-03-05,AIQ,39.161526,,,,,,,,,,,,,,,
2025-03-06,AIQ,37.9739,,,,,,,,,,,,,,,
2025-03-07,AIQ,38.373104,,,,,,,,,,,,,,,
2025-03-10,AIQ,36.536781,,,,,,,,,,,,,,,
2025-03-11,AIQ,36.766323,,,,,,,,,,,,,,,
2025-03-12,AIQ,37.385082,,,,,,,,,,,,,,,
2025-03-13,AIQ,36.556744,,,,,,,,,,,,,,,
2025-03-14,AIQ,37.624603,,,,,,,,,,,,,,,
2025-03-17,AIQ,38.2234,,,,,,,,,,,,,,,
2025-03-18,AIQ,37.61462,,,,,,,,,,,,,,,
2025-03-19,AIQ,38.073704,,,,,,,,,,,,,,,
2025-03-20,AIQ,37.674503,,,,,,,,,,,,,,,
2025-03-21,AIQ,37.764324,,,,,,,,,,,,,,,
2025-03-24,AIQ,38.5228,,,,,,,,,,,,,,,
2025-03-25,AIQ,38.612621,,,,,,,,,,,,,,,
2025-03-26,AIQ,37.844158,,,,,,,,,,,,,,,
2025-03-27,AIQ,37.544762,,,,,,,,,,,,,,,
2025-03-28,AIQ,36.466923,37.759794,,,,,No,-0.034239,,,,,,,,
2025-03-31,AIQ,36.307243,37.621455,,,,,No,-0.034933,,,,,,,,
2025-04-01,AIQ,36.646564,37.528609,,,,,No,-0.023503,,,,,,,,
2025-04-02,AIQ,36.916023,37.470267,,,,,No,-0.014792,,,,,,,,
2025-04-03,AIQ,34.760342,37.212179,,,,,No,-0.065888,,,,,,,,
2025-04-04,AIQ,32.335205,36.747705,,,,,No,-0.120076,,,,,,,,
2025-04-07,AIQ,32.105663,36.305606,,,,,No,-0.115683,,,,,,,,
2025-04-08,AIQ,31.437002,35.84193,,,,,No,-0.122899,,,,,,,,
2025-04-09,AIQ,35.269321,35.787395,,,,,No,-0.014476,,,,,,,,
2025-04-10,AIQ,33.742386,35.592633,,,,,No,-0.051984,,,,,,,,
2025-04-11,AIQ,34.381104,35.477249,36.633921,,,,No,-0.030897,No,-0.061495,,,,,,
2025-04-14,AIQ,34.660542,35.399467,36.51649,,,,No,-0.020874,No,-0.050825,,,,,,
2025-04-15,AIQ,34.790283,35.34145,36.402385,,,,No,-0.015595,No,-0.044286,,,,,,
2025-04-16,AIQ,33.832203,35.197712,36.224741,,,,No,-0.038795,No,-0.066047,,,,,,
2025-04-17,AIQ,33.832203,35.067663,36.086685,,,,No,-0.035231,No,-0.062474,,,,,,
2025-04-21,AIQ,33.163544,34.886319,35.913033,,,,No,-0.049383,No,-0.07656,,,,,,
2025-04-22,AIQ,34.041782,34.805887,35.829866,,,,No,-0.021953,No,-0.049905,,,,,,
2025-04-23,AIQ,35.019825,34.826262,35.771649,,,,Yes,0.005558,No,-0.021017,,,,,,
2025-04-24,AIQ,36.127602,34.950199,35.729733,,,,Yes,0.033688,Yes,0.011135,,,,,,
2025-04-25,AIQ,36.696465,35.11651,35.734391,,,,Yes,0.044992,Yes,0.026923,,,,,,
2025-04-28,AIQ,36.726402,35.269833,35.704451,,,,Yes,0.041298,Yes,0.028623,,,,,,
2025-04-29,AIQ,36.876102,35.422811,35.659541,,,,Yes,0.041027,Yes,0.034116,,,,,,
2025-04-30,AIQ,36.796261,35.553616,35.632262,,,,Yes,0.034951,Yes,0.032667,,,,,,
2025-05-01,AIQ,37.095661,35.700477,35.599661,,,,Yes,0.03908,Yes,0.042023,,,,,,
2025-05-02,AIQ,38.083683,35.927449,35.6133,,,,Yes,0.060016,Yes,0.069367,,,,,,
2025-05-05,AIQ,38.0238,36.127102,35.621949,,,,Yes,0.052501,Yes,0.067426,,,,,,
2025-05-06,AIQ,37.704441,36.277324,35.594671,,,,Yes,0.039339,Yes,0.059272,,,,,,
2025-05-07,AIQ,37.81422,36.423696,35.568057,,,,Yes,0.038176,Yes,0.063151,,,,,,
2025-05-08,AIQ,38.233383,36.596047,35.581031,,,,Yes,0.044741,Yes,0.074544,,,,,,
2025-05-09,AIQ,38.243362,36.752934,35.604318,,,,Yes,0.040553,Yes,0.074121,,,,,,
2025-05-12,AIQ,39.84016,37.046955,35.716759,36.532391,,,Yes,0.075396,Yes,0.115447,Yes,0.090543,,,,
2025-05-13,AIQ,40.628582,37.388063,35.860804,36.581293,,,Yes,0.086673,Yes,0.132952,Yes,0.110638,,,,
2025-05-14,AIQ,40.908024,37.723297,36.002853,36.635185,,,Yes,0.084423,Yes,0.136244,Yes,0.116632,,,,
2025-05-15,AIQ,40.728382,38.009496,36.129931,36.666522,,,Yes,0.071532,Yes,0.127275,Yes,0.110778,,,,
2025-05-16,AIQ,40.848145,38.279843,36.332858,36.724007,,,Yes,0.067093,Yes,0.124276,Yes,0.112301,,,,
2025-05-19,AIQ,40.798244,38.519691,36.614959,36.77251,,,Yes,0.059153,Yes,0.114251,Yes,0.109477,,,,
