Ticker,Price,EMA20,MA30,Pct_Above_EMA20,Pct_Above_MA30,EMA20_vs_MA30_Pct,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Above_EMA20,Above_MA30,EMA20_Above_MA30,Price_Cross_EMA20_Today,Price_Cross_MA30_Today,EMA20_Cross_MA30_Today,Return_1W,Return_1M,Acceleration_Score,Momentum_Score,Early_Rotation_Score,Early_Rotation_Rank,Early_Rotation_State,Rotation_Readiness_Score,Rotation_State
USO,158.380005,137.723297,131.316,14.99870279753759,20.60983048524172,4.879296506137876,5.3598135099443445,2.27660386469668,True,True,True,False,False,False,12.21,24.11,100.0,96.85662596110356,98.95522388059702,1,EXTENDED,98.5854816824966,LEADER
ETHE,19.790001,18.768897,17.523256,5.4404049422829726,12.935638217007162,7.1085019815952055,4.070862615726711,4.6241927985001485,True,True,True,False,False,False,2.84,30.8,92.53731343283582,78.1592039800995,97.16417910447761,2,EARLY ENTRY,87.93283582089552,LEADER
DRAM,58.560001,57.228677,55.486667,2.3263232172919146,5.53886936477912,3.139510974771653,2.657266657580437,2.4854860456954952,True,True,True,False,False,False,4.18,15.07,95.52238805970148,,96.56716417910448,3,EARLY ENTRY,,WATCH
PDBC,20.049999,18.736733,18.248,7.009044746488091,9.875049320473472,2.678282551512501,2.575223906449975,1.6847187504771544,True,True,True,False,False,False,5.19,11.95,98.50746268656717,90.16395296246044,95.74626865671641,4,EARLY ENTRY,95.12601763907732,LEADER
XOP,195.470001,187.636193,182.960334,4.174998370383687,6.837365633580461,2.5556681591978325,2.1432043137707524,2.049426056691539,True,True,True,False,False,False,1.2,9.59,94.02985074626866,89.19380370872908,93.73134328358209,5,EARLY ENTRY,93.34616689280868,LEADER
IBIT,43.68,42.626287,40.344667,2.471979321117046,8.267097606729523,5.655319946004256,3.204814029329617,3.59750405630781,True,True,True,False,False,False,-0.25,21.54,88.05970149253731,68.52894617819992,93.13432835820898,6,EARLY ENTRY,82.25593622795115,EMERGING
XLE,64.93,63.276775,62.040667,2.6126884627100555,4.657159794881016,1.992415716613749,1.5620307753131613,1.6443583400232553,True,True,True,False,False,False,-0.26,6.56,91.04477611940298,82.12460425146993,89.40298507462686,7,EARLY ENTRY,89.26950474898237,LEADER
DBA,29.32,28.735737,28.319,2.0332278235981827,3.5347293336629226,1.4715809174052907,0.8090512594300492,0.7064887887351823,True,True,True,False,False,False,0.17,6.27,89.55223880597015,75.15829941203076,87.53731343283583,8,EARLY ENTRY,85.68690637720488,LEADER
CORN,20.01,19.488754,18.874333,2.6745988994473446,6.016991434876151,3.255325631904449,1.730935426949598,1.7283160250747054,True,True,True,False,False,False,-1.04,13.89,86.56716417910447,72.5067842605156,87.20149253731343,9,EARLY ENTRY,83.59820217096336,LEADER
AMLP,55.75,55.259574,54.854301,0.8874950791332603,1.6328692256966315,0.738817180443152,0.6760707149362499,0.6344296905125724,True,True,True,False,False,False,-0.07,2.63,82.08955223880598,75.35504296698326,84.70149253731344,10,EARLY ENTRY,83.53663500678427,LEADER
OIH,420.220001,418.751435,411.664997,0.35070112655255503,2.078147052176993,1.721408925131418,1.2537245193517954,1.9472414842960806,True,True,True,False,False,False,-3.75,1.18,77.61194029850746,59.46969696969697,77.72388059701493,11,EARLY ENTRY,75.04494572591588,EMERGING
WEAT,26.709999,26.332808,25.533333,1.4323994615386137,4.608352540579008,3.131103174035288,0.894841428651949,1.1982600768895235,True,True,True,True,False,False,-4.13,12.65,43.28358208955223,77.12347354138399,74.70149253731343,12,BUILDING,72.69063772048847,LEADER
XLC,111.5,111.611036,111.386666,-0.0994847857159864,0.10174826491349265,0.2014334462618672,0.0850064528717942,0.624536718273383,False,True,True,False,True,False,-0.82,0.21,80.59701492537313,45.47037539574853,74.41044776119404,13,EARLY WATCH,53.39077340569878,WATCH
XLK,185.220001,185.262403,185.005,-0.0228875364420289,0.11621361584821521,0.13913299640551102,0.5473289014495286,1.2389113486359848,False,True,True,False,False,False,0.88,-0.47,73.13432835820896,78.5119855269109,72.85820895522389,14,EARLY WATCH,78.5206919945726,LEADER
AIQ,63.080002,63.414582,63.066667,-0.5276073569325135,0.021144291642993807,0.5516622592406817,0.572926097340476,1.6821620714552399,False,True,True,False,False,False,0.0,-0.19,62.68656716417911,72.37788331071914,71.14179104477611,15,EARLY WATCH,72.62601763907735,LEADER
SLX,108.625999,108.879382,108.565867,-0.23271899173712418,0.055387574070575596,0.2887786084736943,0.951214696266045,1.0955771454919327,False,True,True,False,False,False,-1.48,-0.65,61.19402985074627,67.73179556761647,64.35074626865672,16,EARLY WATCH,70.0875169606513,WATCH
UNG,10.19,10.312623,10.150333,-1.1890573329404241,0.3907950606152566,1.5988638008230804,0.15052748228803203,0.26010470169892663,False,True,True,False,True,False,-5.21,1.19,58.2089552238806,24.94798733604704,60.97761194029851,17,EARLY WATCH,32.439280868385346,LAGGING
IAI,189.770004,192.506343,191.379,-1.4214279682202458,-0.8407380120075802,0.5890630633454963,0.3079252837605795,0.5800368248468635,False,False,True,False,False,False,-0.55,0.95,50.74626865671642,63.64654002713704,56.029850746268664,18,EARLY WATCH,56.36482360922659,WATCH
SMH,560.280029,563.511329,564.705334,-0.5734223668110161,-0.7836485213720268,-0.21143859073233795,0.28417775656126576,0.6187571045289886,False,False,False,False,False,False,1.78,-2.21,71.64179104477611,65.4228855721393,54.13432835820895,19,EARLY WATCH,58.43283582089552,WATCH
BETZ,19.184999,19.347604,19.310633,-0.8404399841964838,-0.6505949338895256,0.19145410717504863,-0.16520962922855764,0.04904366663425197,False,False,True,False,False,False,0.08,-0.19,74.6268656716418,41.04251469923112,53.77611940298508,20,NO SIGNAL,53.35719131614654,WATCH
COPX,88.610001,90.678735,89.176999,-2.281388243892024,-0.6358119317291688,1.683994770893782,0.9591340604919507,2.8257461318005994,False,False,True,False,False,False,-1.43,0.02,17.91044776119403,64.59972862957939,52.634328358208954,21,NO SIGNAL,51.94301221166893,WEAKENING
QQQ,708.690002,714.214082,714.800334,-0.7734487654641242,-0.8548306022475916,-0.08201618999243987,0.12324996347403694,0.8676573124714926,False,False,False,False,False,False,-0.08,-1.36,65.67164179104478,63.28471279963816,52.34328358208955,22,EARLY WATCH,60.67961329715061,WATCH
VIXY,18.16,18.054835,18.580333,0.582475552947459,-2.262246860699424,-2.8282485572244553,-2.1138558276537434,-3.697244282281853,True,False,False,True,False,False,5.09,-5.91,97.01492537313432,22.545228403437363,51.992537313432834,23,NO SIGNAL,42.99983039348711,LAGGING
ARKG,45.380001,46.231528,45.183,-1.8418750944160789,0.4360069052519844,2.3206250138326334,0.3572147245629598,3.287232826608766,False,True,True,False,False,False,-3.75,1.86,2.985074626865672,77.5203527815468,51.92537313432836,24,EARLY WATCH,57.029681139755766,WEAKENING
SOXX,517.429993,520.56507,523.737002,-0.6022449796718066,-1.2042320813529184,-0.6056345050831413,0.02402294004872907,0.3125172061783976,False,False,False,False,False,False,3.19,-3.14,68.65671641791045,59.99208502939848,50.32835820895523,25,EARLY WATCH,55.09345318860245,WATCH
SHY,81.419998,81.650848,81.674094,-0.2827282332695358,-0.31110966471202817,-0.028461901273124646,-0.033383483445970086,0.04734095472032074,False,False,False,False,False,False,-0.27,-0.25,83.5820895522388,47.753279059249216,48.97014925373134,26,NO SIGNAL,59.06360244233379,WATCH
SLV,57.5,59.318607,58.687333,-3.0658289059282917,-2.0231503789753136,1.075656309002837,0.18249788563857727,2.141310893363735,False,False,True,False,False,False,-2.66,-1.79,44.776119402985074,30.96110357304387,48.492537313432834,27,NO SIGNAL,32.365332428765264,LAGGING
TIP,106.330002,106.979187,107.028373,-0.6068329907947478,-0.6525101526115962,-0.04595603821802019,-0.10944998676146733,0.0080209464812242,False,False,False,False,False,False,-0.5,-0.52,79.1044776119403,41.99004975124378,46.32089552238806,28,NO SIGNAL,42.6268656716418,WATCH
BATT,15.13,15.537034,15.444233,-2.619766423887593,-2.0346300136756534,0.6008780105816847,0.021263404136462327,1.62306242834791,False,False,True,False,False,False,-1.88,-1.3,32.83582089552239,38.934871099050206,46.1044776119403,29,NO SIGNAL,32.37143826322931,WATCH
VOO,696.650024,703.280251,704.619004,-0.9427574555907703,-1.1309629678963318,-0.18999672055396433,0.0072351926836633496,0.6267939060966121,False,False,False,False,False,False,-0.96,-1.66,56.71641791044776,60.137946630483945,45.58955223880597,30,EARLY WATCH,56.57700135685211,WATCH
SPY,757.830017,765.085677,766.552665,-0.9483460765401408,-1.1379058997857738,-0.1913747178740821,0.004679302752608194,0.6258546719241309,False,False,False,False,False,False,-0.96,-1.65,55.223880597014926,59.68227046585256,45.06716417910448,31,EARLY WATCH,55.92418588873812,WATCH
GLD,396.359985,404.415281,402.321668,-1.9918376922062886,-1.4818200147251326,0.5203828594188442,-0.28000705568731465,1.325752006381098,False,False,True,False,False,False,-1.59,-1.15,47.76119402985074,42.79850746268657,44.82089552238806,32,NO SIGNAL,38.58768656716418,WATCH
SKYY,156.610001,159.171731,158.772665,-1.609412666373522,-1.3621135602907342,0.25134427264290604,0.18017381716253222,2.7142886892246976,False,False,True,False,False,False,-1.69,-2.78,19.402985074626866,66.54681139755768,44.798507462686565,33,EARLY WATCH,53.26696065128901,WEAKENING
CPER,39.040001,39.85421,39.939,-2.042968609840734,-2.2509301685069816,-0.2122987556022915,0.3806050600887678,0.712791573542626,False,False,False,False,False,False,-1.24,-2.93,49.25373134328358,50.4692446856626,44.507462686567166,34,NO SIGNAL,49.987279511533245,WATCH
UUP,28.030001,28.074243,28.08,-0.15758928922856574,-0.17805911680911501,-0.02050213675213186,-0.1325755797126904,-0.31358973212934904,False,False,False,False,False,False,-0.5,-0.39,85.07462686567165,48.595658073270016,43.47014925373135,35,NO SIGNAL,59.890434192673,WATCH
SRVR,30.030001,30.691785,30.880961,-2.156225191855088,-2.755613725881134,-0.6125975159905206,-0.3383331420745983,0.11224022403435452,False,False,False,False,False,False,0.42,-3.23,70.1492537313433,26.601085481682496,41.50746268656717,36,NO SIGNAL,33.01526458616011,LAGGING
IGV,101.199997,103.347456,102.948,-2.07790214013589,-1.6979475074795025,0.3880172514278968,-0.11593698587979429,2.219854245656272,False,False,True,False,False,False,-2.15,-2.62,35.82089552238806,53.10153776571688,40.75373134328358,37,NO SIGNAL,52.14196065128901,WATCH
