Ticker,Decision_Support_State,Decision_Priority,Detection_State,Signal_Window,Price_EMA20_Last_Cross,Price_EMA20_Last_Cross_Date,Days_Since_Price_EMA20_Cross,ML_Signal_Date,ML_Quality,ML_Percentile_Display,ML_Daily_PctRank,ML_Early_Leader_Probability,Early_Rotation_State,Early_Rotation_Score,Early_Rotation_Rank,Rotation_State,Rotation_Readiness_Score,Rotation_Readiness_Rank,Confirmation_State,Momentum_Score,Momentum_Rank,Acceleration_Score,Acceleration_Rank,Trend_Score,Price,EMA20,MA30,MA50,MA100,MA200,Above_EMA20,Above_MA30,Above_MA50,Above_MA100,Above_MA200,Distance_To_EMA20,Distance_To_MA50,Distance_To_MA200,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Structure_State,Structure_History_Status,Initial_Risk_Reference,Long_Term_Structural_Reference,Earned_Protection_Status,Earned_Protection_Framework,Return_1W,Return_1M,Return_3M,Research_Note,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,EMA20_Zone,EMA20_Above_MA30
CORN,● ESTABLISHED LEADER,5,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-12,20,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,87.20149253731343,9,LEADER,83.59820217096336,7.0,▲ CONFIRMED LEADER,72.5067842605156,11.0,86.56716417910447,10,100.0,20.01,19.489,18.874,18.401,18.136,17.989,True,True,True,True,True,0.026733028888090704,0.08744089995108961,0.11234643393184718,1.731,1.728,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.04,13.89,17.22,Confirmed leadership already present,0.027,0.06,0.087,0.103,0.112,NEAR EMA20,True
AMLP,● ESTABLISHED LEADER,5,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-07-02,48,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,84.70149253731344,10,LEADER,83.53663500678427,8.0,▲ CONFIRMED LEADER,75.35504296698326,9.0,82.08955223880598,13,100.0,55.75,55.26,54.854,53.984,52.636,50.173,True,True,True,True,True,0.008867173362287373,0.032713396561944164,0.11115540230801413,0.676,0.634,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.07,2.63,7.65,Confirmed leadership already present,0.009,0.016,0.033,0.059,0.111,NEAR EMA20,True
AIQ,● ESTABLISHED LEADER,5,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,71.14179104477611,15,LEADER,72.62601763907735,13.0,▲ CONFIRMED LEADER,72.37788331071914,12.0,62.68656716417911,26,85.0,63.08,63.415,63.067,62.095,62.031,56.157,False,True,True,True,True,-0.005282661830797175,0.015862790884934475,0.12327937745962214,0.573,1.682,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.0,-0.19,2.8,Confirmed leadership already present,-0.005,0.0,0.016,0.017,0.123,NEAR EMA20,True
PPH,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,▲ HIGH,85th percentile,0.8461538461538461,0.5414900511828025,NO SIGNAL,22.95522388059701,51,WATCH,36.03850067842605,44.0,— NOT CONFIRMED,45.34260515603799,38.0,10.44776119402985,61,50.0,109.6,112.945,112.781,111.617,107.219,105.337,False,False,False,True,True,-0.029616184868741402,-0.018070723993656945,0.04047011021768232,-0.708,0.037,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-5.12,-2.16,4.69,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.03,-0.028,-0.018,0.022,0.04,NEAR EMA20,True
IGV,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,● MODERATE,77th percentile,0.7692307692307693,0.524435329332719,NO SIGNAL,40.75373134328358,37,WATCH,52.14196065128901,30.0,— NOT CONFIRMED,53.10153776571688,30.0,35.82089552238806,44,70.0,101.2,103.347,102.948,98.675,94.827,93.606,False,False,True,True,True,-0.02077467173696379,0.025589054978464754,0.08112727816592957,-0.116,2.22,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.15,-2.62,10.53,Current walk-forward RF candidate ranking available,-0.021,-0.017,0.026,0.067,0.081,NEAR EMA20,True
COPX,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,2026-09-04,● MODERATE,62nd percentile,0.6153846153846154,0.5022142302229864,NO SIGNAL,52.63432835820896,21,WEAKENING,51.94301221166893,31.0,▼ DETERIORATING,64.59972862957939,20.0,17.91044776119403,56,70.0,88.61,90.679,89.177,84.049,83.63,80.865,False,False,True,True,True,-0.022816749192205554,0.05426596390200955,0.09577691213751316,0.959,2.826,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.43,0.02,14.8,Current walk-forward RF candidate ranking available,-0.023,-0.006,0.054,0.06,0.096,NEAR EMA20,True
IAI,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,2026-09-04,— LOW,54th percentile,0.5384615384615384,0.466798220819395,EARLY WATCH,56.02985074626866,18,WATCH,56.36482360922659,22.0,● DEVELOPING,63.64654002713704,21.0,50.74626865671642,34,50.0,189.77,192.506,191.379,190.198,184.736,179.542,False,False,False,True,True,-0.014212544024601814,-0.0022502865434967934,0.056967172026601176,0.308,0.58,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.55,0.95,6.39,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.014,-0.008,-0.002,0.027,0.057,NEAR EMA20,True
QQQ,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,2026-09-04,— LOW,46th percentile,0.4615384615384615,0.3620797418866223,EARLY WATCH,52.34328358208955,22,WATCH,60.67961329715061,15.0,● DEVELOPING,63.28471279963816,22.0,65.67164179104478,24,50.0,708.69,714.214,714.8,710.612,708.082,658.622,False,False,False,True,True,-0.007734376531403742,-0.002704710868940974,0.07601932519715415,0.123,0.868,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.08,-1.36,2.27,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.008,-0.009,-0.003,0.001,0.076,NEAR EMA20,False
XLF,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,— LOW,38th percentile,0.3846153846153846,0.3533446507930686,NO SIGNAL,35.46268656716418,41,WATCH,50.70522388059702,33.0,— NOT CONFIRMED,59.02985074626866,27.0,38.80597014925373,42,50.0,56.87,57.565,57.704,57.065,54.557,53.315,False,False,False,True,True,-0.012073308433944274,-0.0034171558748795627,0.06667917096501919,-0.083,0.266,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.37,-1.61,9.27,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.012,-0.014,-0.003,0.042,0.067,NEAR EMA20,False
VOO,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,— LOW,15th percentile,0.1538461538461538,0.1502483040380217,EARLY WATCH,45.58955223880597,30,WATCH,56.57700135685211,21.0,● DEVELOPING,60.137946630483945,23.0,56.71641791044776,30,50.0,696.65,703.28,704.619,696.977,685.899,653.894,False,False,False,True,True,-0.009427255147309688,-0.000469168996968361,0.0653867446405687,0.007,0.627,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.96,-1.66,4.74,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.009,-0.011,-0.0,0.016,0.065,NEAR EMA20,False
SPY,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,— LOW,8th percentile,0.0769230769230769,0.1494214580491297,EARLY WATCH,45.06716417910448,31,WATCH,55.92418588873812,23.0,● DEVELOPING,59.68227046585256,25.0,55.223880597014926,31,50.0,757.83,765.086,766.553,758.246,746.265,711.504,False,False,False,True,True,-0.009483901156209895,-0.0005486346119859542,0.06510996424475479,0.005,0.626,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.96,-1.65,4.74,Current walk-forward RF candidate ranking available | Below MA50 while broader MA200 structure remains intact,-0.009,-0.011,-0.001,0.015,0.065,NEAR EMA20,False
SLX,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,64.35074626865672,16,WATCH,70.0875169606513,14.0,● DEVELOPING,67.73179556761647,17.0,61.19402985074627,27,85.0,108.626,108.879,108.566,105.311,105.582,98.287,False,True,True,True,True,-0.002323680415874496,0.03147819316120826,0.10519193789616121,0.951,1.096,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.48,-0.65,4.24,No exceptional current research condition,-0.002,0.001,0.031,0.029,0.105,NEAR EMA20,True
UUP,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-03,4,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,43.47014925373135,35,WATCH,59.890434192673,16.0,— NOT CONFIRMED,48.595658073270016,33.0,85.07462686567165,11,50.0,28.03,28.074,28.08,28.219,28.006,27.63,False,False,False,True,True,-0.0015672864572202627,-0.006697615082036923,0.014477017734346731,-0.133,-0.314,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.5,-0.39,-0.07,Below MA50 while broader MA200 structure remains intact,-0.002,-0.002,-0.007,0.001,0.014,NEAR EMA20,False
SHY,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,48.97014925373134,26,WATCH,59.06360244233379,17.0,— NOT CONFIRMED,47.753279059249216,35.0,83.5820895522388,12,50.0,81.42,81.651,81.674,81.568,81.414,81.211,False,False,False,True,True,-0.00282911415659326,-0.001814437034130978,0.002573542992944322,-0.033,0.047,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.27,-0.25,0.26,Below MA50 while broader MA200 structure remains intact,-0.003,-0.003,-0.002,0.0,0.003,NEAR EMA20,False
CIBR,● PULLBACK / REVIEW,6,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-01,6,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,37.70149253731344,40,WATCH,58.62398236092266,18.0,— NOT CONFIRMED,71.65196743554954,13.0,46.26865671641791,37,50.0,94.16,95.402,96.281,94.241,86.981,77.601,False,False,False,True,True,-0.013018594998008504,-0.0008594985197525329,0.21338642543266184,-0.634,1.024,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.66,-5.76,13.2,Below MA50 while broader MA200 structure remains intact,-0.013,-0.022,-0.001,0.083,0.213,NEAR EMA20,False
SMH,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,54.13432835820895,19,WATCH,58.43283582089552,19.0,● DEVELOPING,65.4228855721393,19.0,71.64179104477611,20,30.0,560.28,563.511,564.705,570.142,571.982,480.838,False,False,False,False,True,-0.005733694639501241,-0.017297445197863137,0.16521572754233227,0.284,0.619,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,1.78,-2.21,-1.86,Below MA50 while broader MA200 structure remains intact,-0.006,-0.008,-0.017,-0.02,0.165,NEAR EMA20,False
ARKG,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,51.92537313432836,24,WEAKENING,57.029681139755766,20.0,● DEVELOPING,77.5203527815468,7.0,2.985074626865672,66,85.0,45.38,46.232,45.183,43.253,37.988,33.692,False,True,True,True,True,-0.018428793908980667,0.049175779714701884,0.3469072776920339,0.357,3.287,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-3.75,1.86,38.14,No exceptional current research condition,-0.018,0.004,0.049,0.195,0.347,NEAR EMA20,True
SOXX,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,50.32835820895523,25,WATCH,55.09345318860245,24.0,● DEVELOPING,59.99208502939848,24.0,68.65671641791045,22,30.0,517.43,520.565,523.737,532.976,535.931,435.049,False,False,False,False,True,-0.006022302690346315,-0.02916829275614674,0.18936027895708296,0.024,0.313,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,3.19,-3.14,-4.4,Below MA50 while broader MA200 structure remains intact,-0.006,-0.012,-0.029,-0.035,0.189,NEAR EMA20,False
KBE,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,31.044776119402982,45,WATCH,54.094470827679785,25.0,— NOT CONFIRMED,57.6062867480778,28.0,52.23880597014925,33,50.0,67.96,68.738,69.439,69.355,66.765,63.991,False,False,False,True,True,-0.011318339201024208,-0.020113906711844987,0.062024347173821326,-0.302,-0.231,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.57,-3.62,4.68,Below MA50 while broader MA200 structure remains intact,-0.011,-0.021,-0.02,0.018,0.062,NEAR EMA20,False
