Ticker,Decision_Support_State,Decision_Priority,Detection_State,Signal_Window,Price_EMA20_Last_Cross,Price_EMA20_Last_Cross_Date,Days_Since_Price_EMA20_Cross,ML_Signal_Date,ML_Quality,ML_Percentile_Display,ML_Daily_PctRank,ML_Early_Leader_Probability,Early_Rotation_State,Early_Rotation_Score,Early_Rotation_Rank,Rotation_State,Rotation_Readiness_Score,Rotation_Readiness_Rank,Confirmation_State,Momentum_Score,Momentum_Rank,Acceleration_Score,Acceleration_Rank,Trend_Score,Price,EMA20,MA30,MA50,MA100,MA200,Above_EMA20,Above_MA30,Above_MA50,Above_MA100,Above_MA200,Distance_To_EMA20,Distance_To_MA50,Distance_To_MA200,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Structure_State,Structure_History_Status,Initial_Risk_Reference,Long_Term_Structural_Reference,Earned_Protection_Status,Earned_Protection_Framework,Return_1W,Return_1M,Return_3M,Research_Note,Pct_Above_EMA20,Pct_Above_30,Pct_Above_50,Pct_Above_100,Pct_Above_200,EMA20_Zone,EMA20_Above_MA30
KRE,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,29.626865671641795,48,WATCH,53.69962686567164,26.0,— NOT CONFIRMED,55.733830845771145,29.0,53.73134328358209,32,50.0,73.81,74.694,75.535,75.565,72.798,69.544,False,False,False,True,True,-0.0118349532760329,-0.02322503804671472,0.06134245945013239,-0.372,-0.337,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.58,-3.91,3.63,Below MA50 while broader MA200 structure remains intact,-0.012,-0.023,-0.023,0.014,0.061,NEAR EMA20,False
BETZ,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-04,3,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,53.77611940298508,20,WATCH,53.35719131614654,28.0,— NOT CONFIRMED,41.04251469923112,43.0,74.6268656716418,18,50.0,19.185,19.348,19.311,19.302,19.147,19.161,False,False,False,True,True,-0.00842464337399218,-0.006061548026111363,0.0012525442304680556,-0.165,0.049,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.08,-0.19,-3.82,Below MA50 while broader MA200 structure remains intact,-0.008,-0.007,-0.006,0.002,0.001,NEAR EMA20,True
SKYY,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,44.798507462686565,33,WEAKENING,53.26696065128901,29.0,● DEVELOPING,66.54681139755768,18.0,19.402985074626866,55,70.0,156.61,159.172,158.773,150.001,140.431,130.059,False,False,True,True,True,-0.01609579574296971,0.04405970626862499,0.2041458107474301,0.18,2.714,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.69,-2.78,17.2,No exceptional current research condition,-0.016,-0.014,0.044,0.115,0.204,NEAR EMA20,True
IBB,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,39.61194029850746,39,WEAKENING,51.14874491180461,32.0,▼ DETERIORATING,70.79488919041158,14.0,5.970149253731343,64,70.0,202.64,207.181,204.073,198.841,185.326,178.055,False,False,True,True,True,-0.021918033024263983,0.01910571763368707,0.13807531380753124,0.152,1.605,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-5.22,1.45,22.14,No exceptional current research condition,-0.022,-0.007,0.019,0.093,0.138,NEAR EMA20,True
CPER,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,44.507462686567166,34,WATCH,49.987279511533245,34.0,— NOT CONFIRMED,50.4692446856626,32.0,49.25373134328358,35,50.0,39.04,39.854,39.939,39.221,38.684,36.861,False,False,False,True,True,-0.020424549606062103,-0.004614874684480186,0.05911396869319874,0.381,0.713,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.24,-2.93,3.5,Below MA50 while broader MA200 structure remains intact,-0.02,-0.023,-0.005,0.009,0.059,NEAR EMA20,False
DIA,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,29.7910447761194,47,WATCH,46.37974898236092,35.0,— NOT CONFIRMED,48.42265943012212,34.0,40.298507462686565,41,50.0,520.75,530.417,532.915,528.779,515.762,497.155,False,False,False,True,True,-0.01822528312629501,-0.015184037187558452,0.04746004767124945,-0.304,0.298,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.86,-3.0,4.5,Below MA50 while broader MA200 structure remains intact,-0.018,-0.023,-0.015,0.01,0.047,NEAR EMA20,False
XBI,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,30.64179104477612,46,WEAKENING,44.57394843962008,36.0,▼ DETERIORATING,68.29036635006784,16.0,4.477611940298507,65,50.0,156.82,161.571,160.015,158.205,147.007,135.913,False,False,False,True,True,-0.02940502936789402,-0.008754464144622554,0.15382634479409618,-0.281,1.166,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-5.17,-0.79,21.83,Below MA50 while broader MA200 structure remains intact,-0.029,-0.02,-0.009,0.067,0.154,NEAR EMA20,True
XLV,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,28.850746268656717,49,WATCH,40.74966078697422,39.0,— NOT CONFIRMED,52.82677521483492,31.0,14.925373134328357,58,50.0,165.66,169.557,169.011,166.121,157.281,154.792,False,False,False,True,True,-0.022983421504272905,-0.0027750856303538907,0.07021034678794758,-0.433,0.459,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-4.22,-1.4,8.86,Below MA50 while broader MA200 structure remains intact,-0.023,-0.02,-0.003,0.053,0.07,NEAR EMA20,True
RSP,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-04,3,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,22.253731343283583,54,WATCH,39.434871099050206,40.0,— NOT CONFIRMED,44.9298959746721,39.0,22.388059701492537,53,50.0,213.17,218.407,219.511,217.289,211.505,203.126,False,False,False,True,True,-0.023978169197873767,-0.018956320844589425,0.049447141183304844,-0.606,0.144,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.48,-3.41,3.61,Below MA50 while broader MA200 structure remains intact,-0.024,-0.029,-0.019,0.008,0.049,NEAR EMA20,False
REZ,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,20.52238805970149,57,WATCH,36.72252374491181,43.0,— NOT CONFIRMED,44.04341926729987,40.0,31.343283582089555,47,30.0,92.0,94.307,94.932,95.815,93.058,88.988,False,False,False,False,True,-0.024462659187547087,-0.03981631268590513,0.03384726030476015,-0.963,-1.011,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.09,-1.11,0.03,Below MA50 while broader MA200 structure remains intact,-0.024,-0.031,-0.04,-0.011,0.034,NEAR EMA20,False
XLRE,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,22.761194029850746,52,LAGGING,34.56716417910447,46.0,▼ DETERIORATING,32.288557213930346,49.0,41.7910447761194,40,30.0,43.05,44.278,44.634,44.772,44.362,42.693,False,False,False,False,True,-0.02773386331812644,-0.03846153846153855,0.008362026561731462,-0.914,-0.748,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.55,-2.34,-3.47,Below MA50 while broader MA200 structure remains intact,-0.028,-0.035,-0.038,-0.03,0.008,NEAR EMA20,False
IWM,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-28,8,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,21.02238805970149,56,WATCH,34.41146540027137,47.0,— NOT CONFIRMED,45.87290818634102,36.0,20.8955223880597,54,30.0,287.7,295.387,297.721,296.489,290.823,272.89,False,False,False,False,True,-0.026023487831218106,-0.029643595546546386,0.05427095166550622,-0.647,0.068,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.15,-4.42,2.25,Below MA50 while broader MA200 structure remains intact,-0.026,-0.034,-0.03,-0.011,0.054,NEAR EMA20,False
XLP,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,20.37313432835821,58,LAGGING,33.07479647218453,48.0,▼ DETERIORATING,31.957259158751697,50.0,37.3134328358209,43,30.0,83.09,84.887,85.259,84.992,84.19,82.767,False,False,False,False,True,-0.021169319212600235,-0.022378576807228878,0.003902521536361281,-0.761,-0.278,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.85,-1.89,-2.13,Below MA50 while broader MA200 structure remains intact,-0.021,-0.025,-0.022,-0.013,0.004,NEAR EMA20,False
VNQ,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,20.0,59,LAGGING,32.6677408412483,50.0,▼ DETERIORATING,33.0427408412483,48.0,34.32835820895522,45,30.0,94.12,96.841,97.646,98.082,96.799,93.132,False,False,False,False,True,-0.028097603287863482,-0.04039477172162054,0.010608598548297099,-0.95,-0.812,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.73,-2.34,-2.8,Below MA50 while broader MA200 structure remains intact,-0.028,-0.036,-0.04,-0.028,0.011,NEAR EMA20,False
XLB,● PULLBACK / REVIEW,6,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-03,4,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,16.65671641791045,61,WATCH,27.76119402985075,55.0,— NOT CONFIRMED,36.069651741293534,45.0,13.432835820895525,59,30.0,50.76,52.297,52.44,51.843,51.481,49.961,False,False,False,False,True,-0.029389831156662938,-0.02088999479196818,0.015992474129821188,-0.694,0.136,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-4.14,-4.66,2.72,Below MA50 while broader MA200 structure remains intact,-0.029,-0.032,-0.021,-0.014,0.016,NEAR EMA20,False
PEJ,● PULLBACK / REVIEW,6,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,6.716417910447761,66,LAGGING,20.64586160108548,58.0,▼ DETERIORATING,24.237901402080507,60.0,7.462686567164178,63,30.0,62.41,65.638,66.786,66.508,64.429,62.254,False,False,False,False,True,-0.04917882933666484,-0.06161664762133878,0.0025058630770713464,-1.968,-0.649,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-4.32,-7.42,-1.63,Below MA50 while broader MA200 structure remains intact,-0.049,-0.066,-0.062,-0.031,0.003,NEAR EMA20,False
IBIT,— MONITOR,7,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-17,17,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,93.13432835820898,6,EMERGING,82.25593622795115,9.0,▲ EMERGING CONFIRMATION,68.52894617819992,15.0,88.05970149253731,9,100.0,43.68,42.626,40.345,38.678,39.649,42.284,True,True,True,True,True,0.024726692628912028,0.12932416360721866,0.03301485195345766,3.205,3.598,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.25,21.54,24.52,No exceptional current research condition,0.025,0.083,0.129,0.102,0.033,NEAR EMA20,True
OIH,— MONITOR,7,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS ABOVE,2026-08-27,9,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY ENTRY,77.72388059701493,11,EMERGING,75.04494572591588,11.0,▲ EMERGING CONFIRMATION,59.46969696969697,26.0,77.61194029850746,16,100.0,420.22,418.751,411.665,397.631,409.986,379.778,True,True,True,True,True,0.003508051324056627,0.05680895101237082,0.10648852750817595,1.254,1.947,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-3.75,1.18,-0.64,No exceptional current research condition,0.004,0.021,0.057,0.025,0.106,NEAR EMA20,True
SLV,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,2026-09-04,● MODERATE,69th percentile,0.6923076923076923,0.5099345696196417,NO SIGNAL,48.492537313432834,27,LAGGING,32.365332428765264,53.0,▼ DETERIORATING,30.96110357304387,51.0,44.776119402985074,38,20.0,57.5,59.319,58.687,56.369,61.012,65.514,False,False,True,False,False,-0.030664711138084,0.02006421969522254,-0.12232499923680429,0.182,2.141,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-2.66,-1.79,-0.28,Current walk-forward RF candidate ranking available | Below wider MA200 structural reference,-0.031,-0.02,0.02,-0.058,-0.122,NEAR EMA20,True
XLC,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,— LOW,31st percentile,0.3076923076923077,0.3034253986049415,EARLY WATCH,74.41044776119404,13,WATCH,53.39077340569878,27.0,● DEVELOPING,45.47037539574853,37.0,80.59701492537313,14,35.0,111.5,111.611,111.387,110.841,112.195,113.627,False,True,True,False,False,-0.0009945256291943316,0.005945453397208755,-0.01871914245733841,0.085,0.625,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.82,0.21,0.7,Current walk-forward RF candidate ranking available | Below wider MA200 structural reference,-0.001,0.001,0.006,-0.006,-0.019,NEAR EMA20,True
KBWD,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,2026-09-04,— LOW,23rd percentile,0.2307692307692307,0.232655718808188,NO SIGNAL,22.701492537313435,53,LAGGING,20.605664857530527,59.0,▼ DETERIORATING,27.879918588873814,55.0,26.86567164179105,50,0.0,11.98,12.361,12.383,12.269,12.243,12.364,False,False,False,False,False,-0.0308227489685301,-0.023555301980601517,-0.031057910061468852,-0.498,0.437,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-3.54,-4.2,0.5,Current walk-forward RF candidate ranking available | Below wider MA200 structural reference,-0.031,-0.033,-0.024,-0.021,-0.031,NEAR EMA20,False
TIP,▼ STRUCTURAL CAUTION,8,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-28,8,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,46.32089552238806,28,WATCH,42.6268656716418,38.0,— NOT CONFIRMED,41.99004975124378,42.0,79.1044776119403,15,0.0,106.33,106.979,107.028,107.086,107.41,107.164,False,False,False,False,False,-0.006066611204068151,-0.007059746372074738,-0.0077824642603859795,-0.109,0.008,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.5,-0.52,-0.97,Below wider MA200 structural reference,-0.006,-0.007,-0.007,-0.01,-0.008,NEAR EMA20,False
GLD,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-08,2,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,44.82089552238806,32,WATCH,38.58768656716418,41.0,— NOT CONFIRMED,42.79850746268657,41.0,47.76119402985074,36,20.0,396.36,404.415,402.322,390.653,399.743,415.812,False,False,True,False,False,-0.019917658840547525,0.01460887283599499,-0.04678075668811865,-0.28,1.326,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.59,-1.15,5.81,Below wider MA200 structural reference,-0.02,-0.015,0.015,-0.008,-0.047,NEAR EMA20,True
XLU,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,35.298507462686565,42,LAGGING,36.74745590230665,42.0,▼ DETERIORATING,30.914744459520577,52.0,76.11940298507463,17,0.0,42.52,43.239,43.476,44.267,44.52,44.285,False,False,False,False,False,-0.016628506672217047,-0.03946506426909435,-0.03985548154002472,-0.388,-1.03,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-0.35,-2.54,-2.75,Below wider MA200 structural reference,-0.017,-0.022,-0.039,-0.045,-0.04,NEAR EMA20,False
IEF,▼ STRUCTURAL CAUTION,8,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-28,8,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,35.14925373134328,43,WATCH,35.91299185888738,45.0,— NOT CONFIRMED,35.030529172320215,46.0,67.16417910447761,23,0.0,91.18,92.336,92.532,92.676,92.959,93.443,False,False,False,False,False,-0.012519494021833166,-0.016142259053045005,-0.02421797245379531,-0.304,-0.103,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.08,-1.47,-1.67,Below wider MA200 structural reference,-0.013,-0.015,-0.016,-0.019,-0.024,NEAR EMA20,False
SRVR,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,41.50746268656717,36,LAGGING,33.01526458616011,49.0,▼ DETERIORATING,26.601085481682496,58.0,70.1492537313433,21,0.0,30.03,30.692,30.881,30.631,32.042,31.071,False,False,False,False,False,-0.021569138537729682,-0.019620645751036503,-0.0335039103987641,-0.338,0.112,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,0.42,-3.23,-7.31,Below wider MA200 structural reference,-0.022,-0.028,-0.02,-0.063,-0.033,NEAR EMA20,False
UNG,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-09,1,,— NO CURRENT ML SIGNAL,No current ML signal,,,EARLY WATCH,60.97761194029851,17,LAGGING,32.439280868385346,51.0,● DEVELOPING,24.94798733604704,59.0,58.2089552238806,29,15.0,10.19,10.313,10.15,10.375,10.802,11.667,False,True,False,False,False,-0.01192669446329886,-0.017831325301204903,-0.12659638296048692,0.151,0.26,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-5.21,1.19,-11.7,Below wider MA200 structural reference,-0.012,0.004,-0.018,-0.057,-0.127,NEAR EMA20,True
BATT,▼ STRUCTURAL CAUTION,8,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-09-10,0,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,46.1044776119403,29,WATCH,32.37143826322931,52.0,— NOT CONFIRMED,38.934871099050206,44.0,32.83582089552239,46,20.0,15.13,15.537,15.444,15.055,15.847,15.318,False,False,True,False,False,-0.026195533243225877,0.004981733643308006,-0.012273142707925233,0.021,1.623,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.88,-1.3,-0.72,Below wider MA200 structural reference,-0.026,-0.02,0.005,-0.045,-0.012,NEAR EMA20,True
TLT,▼ STRUCTURAL CAUTION,8,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-31,7,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,40.73880597014926,38,LAGGING,32.28510854816825,54.0,▼ DETERIORATING,28.958616010854826,53.0,64.17910447761194,25,0.0,80.78,82.088,82.084,82.66,83.547,84.527,False,False,False,False,False,-0.015934119481531894,-0.022743769658843394,-0.04432903096052154,-0.279,-0.203,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.43,-1.34,-3.73,Below wider MA200 structural reference,-0.016,-0.016,-0.023,-0.033,-0.044,NEAR EMA20,True
BOTZ,▼ STRUCTURAL CAUTION,8,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-18,16,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,33.97014925373134,44,LAGGING,27.42079375848032,56.0,▼ DETERIORATING,21.134102216191767,63.0,59.70149253731343,28,0.0,34.76,35.775,36.267,35.994,37.347,36.881,False,False,False,False,False,-0.028371767994409547,-0.03428349169306,-0.05750928662454924,-0.67,0.663,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.22,-7.26,-4.04,Below wider MA200 structural reference,-0.028,-0.042,-0.034,-0.069,-0.058,NEAR EMA20,False
XLI,▼ STRUCTURAL CAUTION,8,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,CROSS BELOW,2026-08-18,16,,— NO CURRENT ML SIGNAL,No current ML signal,,,NO SIGNAL,16.940298507462686,60,LAGGING,23.61227951153324,57.0,▼ DETERIORATING,33.566259611035726,47.0,28.35820895522388,49,0.0,170.55,176.826,180.178,180.54,177.507,170.559,False,False,False,False,False,-0.03549251806860976,-0.05533399800598193,-5.2767663975439305e-05,-1.356,-0.741,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,MA50 — diversified portfolio research reference,MA200 — wider structural trend reference,POSITION DATA REQUIRED,+5% peak→MA100 | +10% peak→MA50 | +20% peak→MA30,-1.29,-8.16,0.77,Below wider MA200 structural reference,-0.035,-0.053,-0.055,-0.039,-0.0,NEAR EMA20,False
